CO2 Price,Captured Amount,# Opened Sources,# Opened Sinks,Network Length,Total Cost ($M/yr),Total Capture Cost ($M/yr),Total Transport Cost ($M/yr),Total Storage Cost ($M/yr),Total Unit Cost($/tCO2),Unit Capture Cost($/tCO2),Unit Transport Cost($/tCO2),Unit Storage Cost($/tCO2)
1.0,0.0,0,0,TBD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0,0,TBD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,0,0,TBD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,0.0,0,0,TBD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,0.0,0,0,TBD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,0.0,0,0,TBD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,0.0,0,0,TBD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71.0,0.0,0,0,TBD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.0,0.0,0,0,TBD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91.0,17.901,1,1,TBD,-129.45379264094515,1301.38412,127.51595735905481,-1558.35387,-7.231651451927,72.69896206915814,7.123398545279862,-87.054012066365
