Project Length,30
CRF,0.1
Annual Capture Amount (MTCO2/yr),38.232
Total Cost ($M/yr),-245.14757826032275
Capture Cost ($M/yr),2994.15633
Transport Cost ($M/yr),95.41979173967746
Storage Cost ($M/yr),-3334.7237

Source,Capture Amount (MTCO2/yr),Capture Cost ($M/yr)
6,17.901,1301.38412
16,20.331,1692.77221

Sink,Storage Amount (MTCO2/yr),Storage Cost ($M/yr)
7,20.331,-1776.36983
6,17.901,-1558.35387

Edge Source,Edge Sink,Amount (MTCO2/yr),Transport Cost ($M/yr)
471474,480732,20.331,1.755037527419355
649437,657366,17.901,0.7240654151612903
246347,247669,17.901,0.1519319851612903
241059,246347,17.901,0.5789696445161291
259952,471474,20.331,25.359374436129087
178898,180220,17.901,0.19016810064516132
250684,259952,20.331,2.5359731877419356
648113,648114,17.901,0.2326539332258065
270438,254644,20.331,7.12472737806451
254644,250684,20.331,0.4917167177419355
243675,241059,17.901,3.0583091322580636
180220,185506,17.901,0.42044405612903235
185506,243675,17.901,9.965084862580644
549021,648113,17.901,8.867021261290327
648114,649437,17.901,1.3322544612903227
247669,549021,17.901,32.632059640322574
